,X_Ray_Class,X_Ray_Intensity,Integrated_Flux,NOAA_Number_flare,Date,Wilson Magnetic Classification,NOAA_Number_spots,Zurich Class,penumbra Class,Compactness Class,Number of Spots,Longitudanal extent,Area,Status
0,C,11,6.4E-04 ,8819,2000-01-07 12:49:00, B  ,8819,C,A,O,10,6,30,Associated
1,C,11,4.2E-04 ,8819,2000-01-07 12:49:00, B  ,8819,C,A,O,10,6,30,Associated
2,C,56,6.8E-03 ,8819,2000-01-07 12:49:00, B  ,8819,C,A,O,10,6,30,Associated
3,C,29,4.3E-03 ,8819,2000-01-07 12:49:00, B  ,8819,C,A,O,10,6,30,Associated
4,C,75,4.5E-03 ,8829,2000-01-11 14:37:00, B  ,8829,C,S,O,2,4,100,Associated
5,C,28,1.8E-03 ,8828,2000-01-12 10:05:00, B  ,8828,C,S,O,2,3,20,Associated
6,M,30,2.0E-02 ,8858,2000-02-04 07:17:00, B  ,8858,D,A,O,2,9,90,Associated
7,C,86,1.9E-02 ,8888,2000-02-25 03:40:00, B  ,8888,C,S,O,2,3,40,Associated
8,M,25,1.8E-02 ,9026,2000-06-01 00:53:00, A  ,9026,H,S,X,1,7,120,Associated
9,C,16,5.0E-04 ,9033,2000-06-05 05:13:00, A  ,9033,H,A,X,1,8,90,Associated
10,C,24,1.1E-03 ,9042,2000-06-12 14:50:00, A  ,9042,A,X,X,3,2,60,Associated
11,M,55,1.6E-02 ,9090,2000-07-16 01:18:00, A  ,9090,H,S,X,1,1,40,Associated
12,C,28,2.2E-03 ,9097,2000-07-18 07:36:00, A  ,9097,H,A,X,1,2,60,Associated
13,C,12,1.7E-03 ,9143,2000-08-24 06:14:00, A  ,9143,H,S,X,1,1,30,Associated
14,C,23,9.1E-03 ,9166,2000-09-14 13:40:00, B  ,9166,D,S,O,3,4,60,Associated
15,C,21,1.0E-03 ,9166,2000-09-14 13:40:00, B  ,9166,D,S,O,3,4,60,Associated
16,C,17,2.3E-03 ,9198,2000-10-14 12:12:00, B  ,9198,C,S,O,3,2,20,Associated
17,C,35,4.0E-03 ,9235,2000-11-16 14:59:00, B  ,9235,C,A,O,7,11,130,Associated
18,C,24,7.3E-04 ,9240,2000-11-22 01:58:00, A  ,9240,H,S,X,1,4,60,Associated
19,C,19,3.1E-03 ,9267,2000-12-11 08:45:00, B  ,9267,D,A,O,8,5,60,Associated
20,C,17,7.3E-04 ,9276,2000-12-16 16:30:00, B  ,9276,B,X,O,4,4,30,Associated
21,C,20,2.9E-03 ,9283,2000-12-22 16:45:00, A  ,9283,H,A,X,1,2,120,Associated
22,C,37,6.3E-03 ,9283,2000-12-22 16:45:00, A  ,9283,H,A,X,1,2,120,Associated
23,C,20,6.7E-04 ,9285,2000-12-24 00:30:00, B  ,9285,C,S,O,2,5,50,Associated
24,M,13,8.0E-03 ,9289,2000-12-26 12:42:00, B  ,9289,D,S,O,2,4,50,Associated
25,C,25,1.3E-03 ,9301,2001-01-04 16:11:00, A  ,9301,A,X,X,2,1,30,Associated
26,C,32,4.6E-03 ,9302,2001-01-05 01:15:00, A  ,9302,H,S,X,1,2,60,Associated
27,C,18,2.4E-03 ,9329,2001-01-29 00:45:00, B  ,9329,D,S,O,6,6,20,Associated
28,C,78,3.1E-03 ,9372,2001-03-09 19:40:00, B  ,9372,C,S,O,6,8,70,Associated
29,C,24,7.1E-04 ,9372,2001-03-09 19:40:00, B  ,9372,C,S,O,6,8,70,Associated
30,C,37,1.7E-03 ,9372,2001-03-09 19:40:00, B  ,9372,C,S,O,6,8,70,Associated
31,M,11,7.8E-03 ,9390,2001-03-20 07:35:00, A  ,9390,H,A,X,1,1,30,Associated
32,X,12,4.0E-01 ,9415,2001-04-03 00:33:00, A  ,9415,H,S,X,2,4,180,Associated
33,C,11,2.3E-04 ,9488,2001-06-03 00:25:00, B  ,9488,C,A,O,4,3,110,Associated
34,C,18,1.1E-03 ,9518,2001-06-27 00:38:00, B  ,9518,D,S,O,4,8,60,Associated
35,C,23,1.1E-03 ,9545,2001-07-16 01:41:00, B  ,9545,D,R,O,5,3,20,Associated
36,M,45,3.0E-02 ,9616,2001-09-11 14:50:00, A  ,9616,H,A,X,1,2,40,Associated
37,M,14,3.3E-03 ,9628,2001-09-18 12:15:00, B  ,9628,D,S,O,4,7,130,Associated
38,C,13,3.2E-04 ,9663,2001-10-11 15:00:00, A  ,9663,H,A,X,1,2,60,Associated
39,C,23,1.3E-03 ,9678,2001-10-23 00:20:00, B  ,9678,B,X,O,6,5,20,Associated
40,C,38,1.1E-03 ,9718,2001-11-27 20:35:00, A  ,9718,H,A,X,6,2,60,Associated
41,C,14,3.2E-04 ,9932,2002-05-01 05:49:00, A  ,9932,H,S,X,1,1,50,Associated
42,C,24,2.5E-03 ,9932,2002-05-01 05:49:00, A  ,9932,H,S,X,1,1,50,Associated
43,C,22,1.3E-03 ,9961,2002-05-19 09:25:00, B  ,9961,C,S,O,3,6,60,Associated
