,X_Ray_Class,X_Ray_Intensity,NOAA_Number_flare,Date_x,magnetic_classification,NOAA,zurich_class,penumbra_class,compactness_class,No_of_spots,longitudanal_extent,Area,Status
6,M,30.0,8858.0,2000-02-04 07:17:00, B  ,8858,D,A,O,2.0,9.0,90.0,Associated
8,M,25.0,9026.0,2000-06-01 00:53:00, A  ,9026,H,S,X,1.0,7.0,120.0,Associated
11,M,55.0,9090.0,2000-07-16 01:18:00, A  ,9090,H,S,X,1.0,1.0,40.0,Associated
24,M,13.0,9289.0,2000-12-26 12:42:00, B  ,9289,D,S,O,2.0,4.0,50.0,Associated
31,M,11.0,9390.0,2001-03-20 07:35:00, A  ,9390,H,A,X,1.0,1.0,30.0,Associated
32,X,12.0,9415.0,2001-04-03 00:33:00, A  ,9415,H,S,X,2.0,4.0,180.0,Associated
36,M,45.0,9616.0,2001-09-11 14:50:00, A  ,9616,H,A,X,1.0,2.0,40.0,Associated
37,M,14.0,9628.0,2001-09-18 12:15:00, B  ,9628,D,S,O,4.0,7.0,130.0,Associated
47,M,11.0,10083.0,2002-08-17 00:20:00, A  ,10083,H,A,X,1.0,2.0,30.0,Associated
48,M,32.0,10095.0,2002-08-29 08:45:00, A  ,10095,H,A,X,1.0,3.0,120.0,Associated
57,M,11.0,10337.0,2003-04-18 14:36:00, A  ,10337,H,K,X,2.0,1.0,180.0,Associated
59,M,10.0,10386.0,2003-06-16 00:17:00, B  ,10386,D,A,O,14.0,8.0,150.0,Associated
64,M,99.0,10486.0,2003-10-22 16:08:00, A  ,10486,H,K,X,1.0,5.0,150.0,Associated
65,M,21.0,10486.0,2003-10-22 16:08:00, A  ,10486,H,K,X,1.0,5.0,150.0,Associated
66,M,16.0,10501.0,2003-11-13 02:30:00, B  ,10501,D,S,O,2.0,16.0,150.0,Associated
67,M,14.0,10501.0,2003-11-13 02:30:00, B  ,10501,D,S,O,2.0,16.0,150.0,Associated
76,M,15.0,10578.0,2004-03-18 14:30:00, A  ,10578,H,A,X,2.0,2.0,60.0,Associated
78,M,23.0,10582.0,2004-03-25 00:55:00, A  ,10582,H,S,X,1.0,2.0,60.0,Associated
82,M,10.0,10634.0,2004-06-13 08:03:00, B  ,10634,B,X,O,2.0,2.0,30.0,Associated
103,M,18.0,10930.0,2006-12-05 01:25:00, A  ,10930,A,X,X,1.0,2.0,120.0,Associated
105,M,10.0,10960.0,2007-06-01 01:42:00, A  ,10960,H,S,X,1.0,20.0,60.0,Associated
108,M,34.0,11041.0,2010-01-20 13:23:00, B  ,11041,C,S,O,2.0,10.0,40.0,Associated
115,M,10.0,11121.0,2010-11-05 05:00:00, A  ,11121,A,X,X,1.0,1.0,20.0,Associated
0,C,11.0,8819.0,2000-01-07 12:49:00, B  ,8819,C,A,O,10.0,6.0,30.0,Associated
1,C,11.0,8819.0,2000-01-07 12:49:00, B  ,8819,C,A,O,10.0,6.0,30.0,Associated
2,C,56.0,8819.0,2000-01-07 12:49:00, B  ,8819,C,A,O,10.0,6.0,30.0,Associated
3,C,29.0,8819.0,2000-01-07 12:49:00, B  ,8819,C,A,O,10.0,6.0,30.0,Associated
4,C,75.0,8829.0,2000-01-11 14:37:00, B  ,8829,C,S,O,2.0,4.0,100.0,Associated
5,C,28.0,8828.0,2000-01-12 10:05:00, B  ,8828,C,S,O,2.0,3.0,20.0,Associated
7,C,86.0,8888.0,2000-02-25 03:40:00, B  ,8888,C,S,O,2.0,3.0,40.0,Associated
9,C,16.0,9033.0,2000-06-05 05:13:00, A  ,9033,H,A,X,1.0,8.0,90.0,Associated
10,C,24.0,9042.0,2000-06-12 14:50:00, A  ,9042,A,X,X,3.0,2.0,60.0,Associated
12,C,28.0,9097.0,2000-07-18 07:36:00, A  ,9097,H,A,X,1.0,2.0,60.0,Associated
13,C,12.0,9143.0,2000-08-24 06:14:00, A  ,9143,H,S,X,1.0,1.0,30.0,Associated
14,C,23.0,9166.0,2000-09-14 13:40:00, B  ,9166,D,S,O,3.0,4.0,60.0,Associated
15,C,21.0,9166.0,2000-09-14 13:40:00, B  ,9166,D,S,O,3.0,4.0,60.0,Associated
16,C,17.0,9198.0,2000-10-14 12:12:00, B  ,9198,C,S,O,3.0,2.0,20.0,Associated
17,C,35.0,9235.0,2000-11-16 14:59:00, B  ,9235,C,A,O,7.0,11.0,130.0,Associated
18,C,24.0,9240.0,2000-11-22 01:58:00, A  ,9240,H,S,X,1.0,4.0,60.0,Associated
19,C,19.0,9267.0,2000-12-11 08:45:00, B  ,9267,D,A,O,8.0,5.0,60.0,Associated
20,C,17.0,9276.0,2000-12-16 16:30:00, B  ,9276,B,X,O,4.0,4.0,30.0,Associated
21,C,20.0,9283.0,2000-12-22 16:45:00, A  ,9283,H,A,X,1.0,2.0,120.0,Associated
22,C,37.0,9283.0,2000-12-22 16:45:00, A  ,9283,H,A,X,1.0,2.0,120.0,Associated
23,C,20.0,9285.0,2000-12-24 00:30:00, B  ,9285,C,S,O,2.0,5.0,50.0,Associated
25,C,25.0,9301.0,2001-01-04 16:11:00, A  ,9301,A,X,X,2.0,1.0,30.0,Associated
26,C,32.0,9302.0,2001-01-05 01:15:00, A  ,9302,H,S,X,1.0,2.0,60.0,Associated
27,C,18.0,9329.0,2001-01-29 00:45:00, B  ,9329,D,S,O,6.0,6.0,20.0,Associated
28,C,78.0,9372.0,2001-03-09 19:40:00, B  ,9372,C,S,O,6.0,8.0,70.0,Associated
29,C,24.0,9372.0,2001-03-09 19:40:00, B  ,9372,C,S,O,6.0,8.0,70.0,Associated
30,C,37.0,9372.0,2001-03-09 19:40:00, B  ,9372,C,S,O,6.0,8.0,70.0,Associated
33,C,11.0,9488.0,2001-06-03 00:25:00, B  ,9488,C,A,O,4.0,3.0,110.0,Associated
34,C,18.0,9518.0,2001-06-27 00:38:00, B  ,9518,D,S,O,4.0,8.0,60.0,Associated
