,index,Wilson Magnetic Classification,NOAA_Number_spots,Zurich Class,penumbra Class,Compactness Class,Number of Spots,Longitudanal extent,Area,Date_x,X_Ray_Class,X_Ray_Intensity,Integrated_Flux,NOAA_Number_flare,Date_y,Status
0,140, B  ,8818,B,X,O,2.0,3.0,10.0,2000-01-06 07:58:00,,,,,,Unassociated
1,117, B  ,8817,B,X,O,3.0,3.0,20.0,2000-01-07 00:20:00,,,,,,Unassociated
2,105, B  ,8814,C,S,O,7.0,6.0,40.0,2000-01-08 15:49:00,,,,,,Unassociated
3,170, B  ,8822,C,S,O,2.0,7.0,10.0,2000-01-09 17:06:00,,,,,,Unassociated
4,158, B  ,8820,B,X,O,2.0,3.0,10.0,2000-01-13 00:25:00,,,,,,Unassociated
5,1157, B  ,8826,B,X,O,2.0,1.0,30.0,2000-01-16 00:05:00,,,,,,Unassociated
6,1593, B  ,8835,B,X,O,2.0,3.0,10.0,2000-01-16 00:05:00,,,,,,Unassociated
7,233, B  ,8834,C,R,O,2.0,3.0,30.0,2000-01-17 01:40:00,,,,,,Unassociated
8,1143, B  ,8825,C,R,O,6.0,3.0,30.0,2000-01-17 01:40:00,,,,,,Unassociated
9,1528, B  ,8832,B,X,O,2.0,3.0,20.0,2000-01-17 17:38:00,,,,,,Unassociated
10,1600, B  ,8836,B,X,O,7.0,4.0,10.0,2000-01-18 16:28:00,,,,,,Unassociated
11,1653, B  ,8838,C,S,O,6.0,4.0,20.0,2000-01-24 00:20:00,,,,,,Unassociated
12,1664, B  ,8843,B,X,O,5.0,4.0,10.0,2000-01-25 00:22:00,,,,,,Unassociated
13,1681, B  ,8839,C,S,O,13.0,7.0,60.0,2000-01-25 00:22:00,,,,,,Unassociated
14,1658, B  ,8840,B,X,O,2.0,5.0,10.0,2000-01-25 12:30:00,,,,,,Unassociated
15,1992, B  ,8846,B,X,O,2.0,10.0,10.0,2000-01-27 16:34:00,,,,,,Unassociated
16,1975, B  ,8844,D,S,O,3.0,7.0,42.0,2000-01-29 16:10:00,,,,,,Unassociated
17,2065, B  ,8847,B,X,O,2.0,3.0,30.0,2000-01-30 08:30:00,,,,,,Unassociated
18,2061, B  ,8849,B,X,O,2.0,4.0,10.0,2000-01-30 12:20:00,,,,,,Unassociated
19,2277, B  ,8850,B,X,O,2.0,3.0,10.0,2000-01-31 01:15:00,,,,,,Unassociated
20,3114, B  ,8860,B,X,O,3.0,3.0,10.0,2000-02-05 01:20:00,,,,,,Unassociated
21,2381, B  ,8859,D,A,O,2.0,8.0,60.0,2000-02-05 01:20:00,,,,,,Unassociated
22,2375, B  ,8857,B,X,O,3.0,4.0,10.0,2000-02-09 01:46:00,,,,,,Unassociated
23,2286, B  ,8852,B,X,O,4.0,8.0,10.0,2000-02-09 13:29:00,,,,,,Unassociated
24,3479, B  ,8862,C,S,O,2.0,4.0,100.0,2000-02-09 16:48:00,,,,,,Unassociated
25,2308, B  ,8854,C,R,O,4.0,4.0,20.0,2000-02-10 01:05:00,,,,,,Unassociated
26,3481, B  ,8864,B,X,O,2.0,6.0,10.0,2000-02-10 18:47:00,,,,,,Unassociated
27,3308, B  ,8863,B,X,O,4.0,2.0,10.0,2000-02-11 16:15:00,,,,,,Unassociated
28,4354, B  ,8873,B,X,O,2.0,4.0,10.0,2000-02-14 12:30:00,,,,,,Unassociated
29,4326, A  ,8871,H,A,O,2.0,2.0,20.0,2000-02-15 08:16:00,,,,,,Unassociated
30,4364, B  ,8874,B,X,O,4.0,5.0,10.0,2000-02-17 00:55:00,,,,,,Unassociated
31,4413, B  ,8877,B,X,O,3.0,2.0,10.0,2000-02-17 00:55:00,,,,,,Unassociated
32,4421, B  ,8878,B,X,O,2.0,2.0,10.0,2000-02-18 12:45:00,,,,,,Unassociated
33,4410, B  ,8876,B,X,O,3.0,1.0,10.0,2000-02-20 02:35:00,,,,,,Unassociated
34,4424, B  ,8880,C,R,O,2.0,4.0,30.0,2000-02-21 00:45:00,,,,,,Unassociated
35,4467, B  ,8870,D,S,O,2.0,5.0,60.0,2000-02-23 00:51:00,,,,,,Unassociated
36,4394, B  ,8875,D,S,O,6.0,10.0,50.0,2000-02-25 03:40:00,,,,,,Unassociated
37,5382, B  ,8885,B,S,O,2.0,4.0,20.0,2000-02-25 03:40:00,,,,,,Unassociated
38,6366, B  ,8893,C,R,O,2.0,4.0,10.0,2000-02-27 11:52:00,,,,,,Unassociated
39,5597, B  ,8887,C,R,O,7.0,3.0,30.0,2000-02-27 11:52:00,,,,,,Unassociated
40,6392, B  ,8894,B,X,O,3.0,3.0,30.0,2000-02-29 03:32:00,,,,,,Unassociated
41,6393, B  ,8895,B,X,O,3.0,4.0,10.0,2000-02-29 15:59:00,,,,,,Unassociated
42,4463, A  ,8881,H,A,X,2.0,2.0,30.0,2000-03-02 01:00:00,,,,,,Unassociated
43,5376, A  ,8883,H,S,X,2.0,2.0,30.0,2000-03-04 01:45:00,,,,,,Unassociated
44,6365, A  ,8892,H,S,X,1.0,1.0,20.0,2000-03-04 01:45:00,,,,,,Unassociated
45,6391, B  ,8896,B,X,O,2.0,2.0,10.0,2000-03-06 15:00:00,,,,,,Unassociated
46,6412, A  ,8897,A,X,X,1.0,2.0,20.0,2000-03-07 07:10:00,,,,,,Unassociated
47,7210, A  ,8905,A,X,X,4.0,1.0,20.0,2000-03-10 15:58:00,,,,,,Unassociated
48,9203, B  ,8907,C,S,O,3.0,7.0,20.0,2000-03-12 02:45:00,,,,,,Unassociated
49,9219, A  ,8908,A,X,X,2.0,2.0,10.0,2000-03-13 06:47:00,,,,,,Unassociated
50,7064, B  ,8902,B,X,O,3.0,3.0,10.0,2000-03-13 06:47:00,,,,,,Unassociated
51,7089, A  ,8903,H,S,X,1.0,1.0,20.0,2000-03-15 12:12:00,,,,,,Unassociated
52,10360, A  ,8911,H,R,X,1.0,1.0,10.0,2000-03-16 11:29:00,,,,,,Unassociated
53,10885, B  ,8920,C,R,O,2.0,3.0,10.0,2000-03-24 06:30:00,,,,,,Unassociated
54,10910, A  ,8923,A,X,X,1.0,1.0,10.0,2000-03-26 16:08:00,,,,,,Unassociated
55,11269, B  ,8927,D,A,O,2.0,6.0,30.0,2000-03-28 10:15:00,,,,,,Unassociated
56,10894, A  ,8922,H,R,X,2.0,1.0,10.0,2000-03-29 09:30:00,,,,,,Unassociated
57,11679, B  ,8934,C,R,O,3.0,4.0,10.0,2000-03-30 08:28:00,,,,,,Unassociated
58,11489, A  ,8929,H,S,X,1.0,1.0,10.0,2000-04-02 01:30:00,,,,,,Unassociated
59,12765, B  ,8942,C,A,O,14.0,6.0,50.0,2000-04-02 15:30:00,,,,,,Unassociated
60,14286, B  ,8950,B,X,O,2.0,8.0,10.0,2000-04-06 12:51:00,,,,,,Unassociated
61,11604, A  ,8932,A,X,X,1.0,1.0,20.0,2000-04-07 14:33:00,,,,,,Unassociated
62,12793, A  ,8943,A,X,X,1.0,2.0,30.0,2000-04-08 05:27:00,,,,,,Unassociated
63,14333, A  ,8952,H,S,X,1.0,1.0,10.0,2000-04-09 01:15:00,,,,,,Unassociated
64,12848, B  ,8945,C,S,O,2.0,2.0,20.0,2000-04-09 01:15:00,,,,,,Unassociated
65,12822, A  ,8944,A,X,X,2.0,1.0,10.0,2000-04-09 12:12:00,,,,,,Unassociated
66,15114, B  ,8954,B,X,O,4.0,6.0,20.0,2000-04-13 15:28:00,,,,,,Unassociated
67,15128, B  ,8956,B,X,O,9.0,7.0,20.0,2000-04-16 01:00:00,,,,,,Unassociated
68,15170, A  ,8960,H,S,X,1.0,1.0,20.0,2000-04-17 15:47:00,,,,,,Unassociated
